################################################################################
IN SEQ: 	 b'how much is mel ##ani ##n worth in 2020 ?'
GOLD SEQ: 	 b'how much is mel ##ani ##n worth in 2020 ?'
PRED SEQ:	 b'how much is mel ##ani ##n worth in 2020 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.3777493, 0.052107695, 0.018712908, 0.026027363, 0.03917306, 0.027243499, 0.07456219, 0.0024093185, 0.055129718, 0.1921588]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'did madison media win 23 new businesses in f ##y 2020 - 21 ?'
GOLD SEQ: 	 b'did madison media win 23 new businesses in f ##y 2020 - 21 ?'
PRED SEQ:	 b'did madison media win 23 new businesses in 2020 - 21 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0054822736, 0.0038304906, 0.0032741106, 0.16934884, 0.0007511567, 0.0016063635, 0.0013536788, 4.9002665e-05, 0.36365595, 0.646666, 0.00011703591, 6.021721e-05, 4.5309553e-05, 0.13519207]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'is money the only reason right - wing media continues to per ##pet ##rate lies about the 2020 presidential election ?'
GOLD SEQ: 	 b'is money the only reason right - wing media continues to per ##pet ##rate lies about the 2020 presidential election ?'
PRED SEQ:	 b'is money the only reason right - wing media continues to lies about the 2020 presidential election ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0015618311, 0.0063759238, 3.6189558e-05, 0.0002684227, 1.43108255e-05, 0.40652055, 0.52091825, 0.47693515, 0.0007208669, 0.0023420646, 1.8642091e-05, 0.8227963, 0.7291239, 0.58556986, 0.07957344, 3.0780822e-05, 3.6339302e-06, 1.6148388e-05, 1.4613478e-05, 6.0152893e-06, 7.132591e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'if you voted by mail in the 2020 presidential election , do you plan to do so again in 202 ##4 , and if so , why ?'
GOLD SEQ: 	 b'if you voted by mail in the 2020 presidential election , do you plan to do so again in 202 ##4 , and if so , why ?'
PRED SEQ:	 b'if the patient protection if by mail in the 2020 presidential election , do you plan to do so in 202 ##4 , and if so , why ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
